Date,Open,High,Low,Close,Adj Close,Volume
11/1/07,34.509998,34.709999,30.68,33.150002,28.840109,219617300
12/1/07,33.060001,33.5,31.709999,32.279999,28.083218,193431800
1/1/08,32.32,32.630001,26.299999,29.84,26.240885,311584700
2/1/08,30.75,33.23,30.049999,32.41,28.500908,273015700
3/1/08,32.610001,32.709999,30.049999,31.379999,27.595139,228129500
4/1/08,31.52,33.029999,29.57,32.43,28.518496,253682300
5/1/08,32.450001,35.02,32.419998,33.599998,29.547377,265545100
6/1/08,33.5,34.709999,31.139999,31.200001,27.43685,304091100
7/1/08,30.91,31.77,28.549999,30.35,26.689369,346983800
8/1/08,30.5,33.419998,29.83,32.349998,28.448143,238231600
9/1/08,32.740002,34.849998,29.25,30.690001,26.988361,335173700
10/1/08,30.299999,31.059999,21.25,25.91,22.784895,462241800
11/1/08,25.85,26.24,18.6,22.52,19.803776,390996800
12/1/08,22.040001,26.1,20.27,22.690001,19.953276,341523600
1/1/09,22.76,24.83,19.950001,20.68,18.458298,278390800
2/1/09,20.08,20.790001,16.42,16.77,14.96836,399424800
3/1/09,16.48,19.139999,15.14,18.16,16.20903,365733300
4/1/09,17.92,22.57,17.84,21.9,19.547232,356457800
5/1/09,21.76,26.290001,21.120001,24.219999,21.617989,329523500
6/1/09,24.83,25.639999,22.549999,23.33,20.823603,230511000
7/1/09,23.5,26.84,22.049999,25.120001,22.421299,281638600
8/1/09,25.52,27.299999,24.889999,26.040001,23.242458,242643100
9/1/09,25.889999,28.68,25.25,27.459999,24.509909,284735300
10/1/09,27.76,29.98,26.84,27.370001,24.429579,237933500
11/1/09,27.379999,30.93,27.01,30.219999,26.973392,241033300
12/1/09,30.440001,32.75,30.299999,32.25,28.785305,237870600
1/1/10,32.5,32.75,28.709999,29.549999,26.679535,232174700
2/1/10,29.6,31.52,28.99,31.24,28.205368,230552400
3/1/10,31.4,35.599998,31.34,34.91,31.518869,306740800
4/1/10,35.07,37.490002,35.009998,36.84,33.261387,237911900
5/1/10,36.950001,37.98,31,33.419998,30.173607,381609800
6/1/10,33.060001,35.830002,31.360001,31.5,28.440113,288582900
7/1/10,31.469999,34.799999,30.719999,33.689999,30.417377,227267000
8/1/10,34.139999,35.41,31.549999,32.540001,29.379089,225905800
9/1/10,33,34.990002,32.68,33.099998,29.884691,214082100
10/1/10,33.299999,36.52,33.080002,36.130001,32.620361,235383500
11/1/10,36.209999,38,35.150002,36.509998,32.963448,277550300
12/1/10,37.150002,37.990002,36.509998,37.509998,33.866306,157233100
1/1/11,37.740002,40,37.619999,38.869999,35.478046,196560600
2/1/11,39.040001,44.049999,39.040001,43.740002,39.92308,248538800
3/1/11,43.630001,44.34,40.419998,43.09,39.329807,213021500
4/1/11,43.23,43.380001,40.459999,43.099998,39.338928,147489900
5/1/11,43.470001,44.130001,40.549999,41.630001,37.997211,219206400
6/1/11,41.529999,41.59,37.189999,39.040001,35.633217,235019900
