Date,Open,High,Low,Close,Adj Close,Volume
11/1/07,42.880001,42.990002,38.299999,39.91,30.862194,37493400
12/1/07,39.720001,40.880001,38.209999,39.400002,30.696976,36320300
1/1/08,39.450001,39.450001,33.540001,36.169998,28.180441,49675200
2/1/08,36.150002,38.040001,34.18,37.080002,28.889441,40247900
3/1/08,37.049999,38.740002,34.759998,37.669998,29.586756,33297000
4/1/08,37.950001,39.470001,34.25,37.380001,29.358992,37680700
5/1/08,37.400002,40.75,36.18,39.189999,30.7806,39348100
6/1/08,39.009998,39.049999,32.470001,32.779999,25.953856,38802200
7/1/08,32.799999,37.220001,32.310001,36.77,29.112978,29174500
8/1/08,36.900002,41.880001,35.900002,36.09,28.574579,40380700
9/1/08,36.470001,44.32,36.360001,39.540001,31.554319,52122300
10/1/08,39.41,40.549999,32.970001,37.240002,29.718832,48100400
11/1/08,37.080002,38.75,32.099998,36,28.729265,24757700
12/1/08,35.189999,36.970001,33.25,34.740002,27.977859,25028500
1/1/09,35.110001,38.23,33.299999,37.279999,30.023443,29885900
2/1/09,37,37.599998,33,33.689999,27.132242,39551800
3/1/09,33.25,36.27,30.27,34.75,28.228764,46435000
4/1/09,34.459999,37.830002,34.200001,36.139999,29.357904,33153500
5/1/09,36.23,36.490002,34.400002,35.220001,28.610569,25016100
6/1/09,35.5,36.259998,33.700001,36,29.490072,25666500
7/1/09,36.209999,42.25,35.779999,39.950001,32.72578,28041300
8/1/09,40.110001,40.25,38.18,39.23,32.13599,19789800
9/1/09,39.080002,41.68,38.119999,38.860001,32.07568,37266800
10/1/09,38.650002,41.619999,37.41,37.790001,31.192488,39387700
11/1/09,37.84,38.810001,35.220001,35.369999,29.194975,34841400
12/1/09,35.560001,36.75,35.049999,35.790001,29.780344,20892200
1/1/10,36.009998,38.049999,35.759998,36.43,30.31288,42196700
2/1/10,36.59,40.099998,36.060001,39.759998,33.083721,37764300
3/1/10,39.91,43.580002,39.790001,42.810001,35.910763,38284900
4/1/10,43,48.75,42.790001,47.009998,39.43388,36155600
5/1/10,47.290001,48.34,44.75,46.799999,39.257721,37803300
6/1/10,46.549999,52.099998,46.240002,47.93,40.483429,49898200
7/1/10,47.68,51.669998,45.529999,47,39.697918,44062000
8/1/10,47.349998,47.959999,45.540001,46.470001,39.250263,32531000
9/1/10,46.84,48.25,45.310001,47.59,40.467491,32202800
